user_id,accepts_marketing,device_token,email_address,first_name,gender,is_employee,last_name,profile_picture_uri,bundle_id,debug,createdAt,updatedAt,last_store_visit,total_spend,wishlist_products,favourite_products
66228,TRUE,7576C77BEBD50B66F56E5C8F67AA3050F4B897ACCFB1A4E4D4DE264EE1E21CEB,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,com.deloittedigital.starbright-retail-assistant,TRUE,2017-01-11T13:37:03.954Z,2017-01-11T18:00:50.447Z,,,,
54908,TRUE,2415F402469BDC9656C344ADDCEEDA342FE9498E6B9D8D37E4460131DE91E1C1,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-12T18:26:57.535Z,2017-01-13T10:24:30.380Z,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
21056,TRUE,9C3DD27069958A81AD518A07DBDE1A92276BB64D8956015E93C4D7979263E682,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-16T09:45:23.627Z,2017-01-16T16:33:46.873Z,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
12411,TRUE,28AFB6C2561750845443B52BBE9C910017ACACED892782A80FCB4261504A6B66,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,com.deloittedigital.starbright-retail-assistant,FALSE,2017-01-10T17:28:50.349Z,2017-01-11T19:10:00.356Z,,,,
23887,TRUE,9B6A7C1269049F82E14ED9BFD0F88D4FAF465EAA7F4CF8765078C62CC7384DF2,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,com.deloittedigital.starbright-retail-assistant,TRUE,2017-01-13T15:35:52.733Z,,,,,
5326,TRUE,CA7901887E378CBC1168E9C46DF09977A4E76644B62FF7713157A01E5FEB5779,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,com.deloittedigital.starbright-retail-assistant,TRUE,2017-01-10T17:16:52.376Z,2017-01-10T17:43:39.921Z,,,,
29650,TRUE,4C33AFEEDE8E06007B13B475350BCF3682A84C6D2CBD16E7DC79E482692FC048,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-13T11:34:56.237Z,2017-01-13T11:34:57.317Z,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
88512,TRUE,A27327782C5CA9FAAC2A0B4A5A90B21A21D0DFD3DDE6FD7944B775B4035FE9BA,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-16T10:50:59.288Z,2017-01-17T13:47:15.585Z,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
14497,TRUE,7020E9BD4A7FB2795A4678A81AFEDF7E726DA0C9FB29E878F36EB6F288B40CAC,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,com.deloittedigital.starbright-retail-assistant,TRUE,2017-01-10T17:44:12.361Z,2017-01-11T13:22:00.194Z,,,,
31036,TRUE,F6BCCFFAAE52AEACC25335C157A27F1B48107B5B94ECBA10B1D6E26D780A1DEE,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-12T09:49:03.174Z,2017-01-13T15:23:57.948Z,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
66478,TRUE,3B3AEBBEA07A568A3A1967728C60815604DA4251EEEBB9F3ECA70873BA54690D,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-12T20:51:00.294Z,2017-01-13T09:04:09.482Z,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
89543,TRUE,2BACFCD347506632F6877FC09C76A65B4D47E4894D38A48B955918DF5FF95690,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,com.deloittedigital.starbright-retail-assistant,FALSE,2017-01-13T14:49:20.117Z,2017-01-13T15:20:42.630Z,,,,
27090,TRUE,929957798CB52248444C92B94B411EBAF8B5DE914D8D52C7E9D0E22EFB09533A,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,com.deloittedigital.starbright-retail-assistant,FALSE,2017-01-13T12:58:44.142Z,,,,,
52875,TRUE,7AD8FE0603C32D7DD6C409284CC36E55D84FEF498DC787FB6E57E2B7D586BEC0,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-10T17:09:02.839Z,,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
49133,TRUE,9BF28A0A0D9D0E3488FD0F49EE7F480D1D715DC9CEE7C6CA7B5035058198D6B7,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-11T12:49:15.646Z,,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
2,TRUE,9c087a4ed913912d8abbb52b9367cb7af7f68c1bd0fd1960b55d2cbadc1fc704,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,,,,,,,,"[  { ""M"" : {      ""date_favourited"" : { ""S"" : ""2016-01-06T19:00:00.000Z"" },      ""product_id"" : { ""N"" : ""1"" }    }  }]"
32505,TRUE,85D65FB4DF0BC0EA0507F547F685AD014321ECBEFF7FF3315D0E892FAC88D005,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,com.deloittedigital.starbright-retail-assistant,TRUE,2017-01-11T18:46:22.055Z,2017-01-11T18:49:55.397Z,,,,
86646,TRUE,C773AA2248E9DCC1A12FEBDBD00767D3EF7FBF7C3DBD8342AE3E13AE02435C2E,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-11T11:43:08.634Z,2017-01-11T13:22:49.554Z,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
29607,TRUE,3E66AB1FBA061E056B2FADC8C167875FC07CE0C39CD67D35294F1419F50F0099,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-13T11:37:39.447Z,2017-01-13T11:37:42.025Z,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
72999,TRUE,92184EC557823B0FBC6C0FA69B691F39C05A63FBF7BAB6BB8964A4CA04269B01,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,com.deloittedigital.starbright-retail-assistant,TRUE,2017-01-11T18:44:09.154Z,,,,,
61053,TRUE,878C261E5B4315EAEE156236EF89B1DE38EC795E428E51D6E613D51E47D870E5,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-11T15:47:30.122Z,2017-01-11T18:23:19.802Z,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
33806,TRUE,8BA20AE04AF24482961C222E316E10F22CCB354E04C117BAE7A0EBD1FCC8E6F2,zoe.simpson@mailinator.com,Zoe,f,FALSE,Simpson,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileZoe.png,com.deloittedigital.starbright-consumer,TRUE,2017-01-13T16:48:30.127Z,2017-01-13T16:48:57.722Z,2016-01-08T09:30:00.000Z,29.5,"[  { ""N"" : ""36"" }]",
40526,TRUE,BF683A873CF8C7774E444F7889C68B729F780B94FDF7EE0F2901493F59A81070,luiza.ivanov@starbrights.uk,Luiza,f,TRUE,Ivanov,https://s3-eu-west-1.amazonaws.com/clerkandgreen-assets/user_images/App-LoggedInProfileLuiza.png,com.deloittedigital.starbright-retail-assistant,FALSE,2017-01-12T20:28:06.465Z,2017-01-13T12:51:09.352Z,,,,
